"Global","Level","Address","Size","Field Type","Field Name","Elt Type","Comment"
"gps","1","0x8eaaab8","0x4","pointer","gps.screen_limit","uint8_t",""
"enabler","0","0x8eaad40","0x25c","struct-type","enabler","",""
"enabler","1","0x8eaad40","0x1","bool","enabler.fullscreen","",""
"enabler","1","0x8eaad44","0x28","stl-deque","enabler.overridden_grid_sizes","enabler::anon2",""
"enabler","1","0x8eaad6c","0x4","pointer","enabler.renderer","padding",""
"enabler","1","0x8eaad70","0x4","int32_t","enabler.calculated_fps","",""
"enabler","1","0x8eaad74","0x4","int32_t","enabler.calculated_gfps","",""
"enabler","1","0x8eaad78","0x28","stl-deque","enabler.frame_timings","int32_t",""
"enabler","1","0x8eaada0","0x28","stl-deque","enabler.gframe_timings","int32_t",""
"enabler","1","0x8eaadc8","0x4","int32_t","enabler.frame_sum","",""
"enabler","1","0x8eaadcc","0x4","int32_t","enabler.gframe_sum","",""
"enabler","1","0x8eaadd0","0x4","int32_t","enabler.frame_last","",""
"enabler","1","0x8eaadd4","0x4","int32_t","enabler.gframe_last","",""
"enabler","1","0x8eaadd8","0x4","s-float","enabler.fps","",""
"enabler","1","0x8eaaddc","0x4","s-float","enabler.gfps","",""
"enabler","1","0x8eaade0","0x4","s-float","enabler.fps_per_gfps","",""
"enabler","1","0x8eaade4","0x4","uint32_t","enabler.last_tick","",""
"enabler","1","0x8eaade8","0x4","s-float","enabler.outstanding_frames","",""
"enabler","1","0x8eaadec","0x4","s-float","enabler.outstanding_gframes","",""
"enabler","1","0x8eaadf0","0x4","uint32_t","enabler.async_frames","",""
"enabler","1","0x8eaadf4","0x1","bool","enabler.async_paused","",""
"enabler","1","0x8eaadf8","0x30","compound","enabler.async_tobox","",""
"enabler","2","0x8eaadf8","0x4","pointer","enabler.async_tobox.sem","padding",""
"enabler","2","0x8eaadfc","0x28","stl-deque","enabler.async_tobox.queue","enabler::anon3",""
"enabler","2","0x8eaae24","0x4","pointer","enabler.async_tobox.sem_fill","padding",""
"enabler","1","0x8eaae28","0x30","compound","enabler.async_frombox","",""
"enabler","2","0x8eaae28","0x4","pointer","enabler.async_frombox.sem","padding",""
"enabler","2","0x8eaae2c","0x28","stl-deque","enabler.async_frombox.queue","enabler::anon4",""
"enabler","2","0x8eaae54","0x4","pointer","enabler.async_frombox.sem_fill","padding",""
"enabler","1","0x8eaae58","0x30","compound","enabler.async_zoom","",""
"enabler","2","0x8eaae58","0x4","pointer","enabler.async_zoom.sem","padding",""
"enabler","2","0x8eaae5c","0x28","stl-deque","enabler.async_zoom.queue","enum",""
"enabler","2","0x8eaae84","0x4","pointer","enabler.async_zoom.sem_fill","padding",""
"enabler","1","0x8eaae88","0x4","pointer","enabler.async_fromcomplete","padding",""
"enabler","1","0x8eaae8c","0x4","uint32_t","enabler.renderer_threadid","",""
"enabler","1","0x8eaae90","0x4","stl-string","enabler.command_line","",""
"enabler","1","0x8eaae94","0xc0","static-array","enabler.ccolor","enabler::anon5",""
"enabler","1","0x8eaaf54","0x4","bitfield","enabler.flag","",""
"enabler","2","0x8eaaf54","0x0.1","flag-bit","enabler.flag.render","",""
"enabler","2","0x8eaaf54.1","0x0.1","flag-bit","enabler.flag.maxfps","",""
"enabler","1","0x8eaaf58","0x1","int8_t","enabler.mouse_lbut","",""
"enabler","1","0x8eaaf59","0x1","int8_t","enabler.mouse_rbut","",""
"enabler","1","0x8eaaf5a","0x1","int8_t","enabler.mouse_lbut_down","",""
"enabler","1","0x8eaaf5b","0x1","int8_t","enabler.mouse_rbut_down","",""
"enabler","1","0x8eaaf5c","0x1","int8_t","enabler.mouse_lbut_lift","",""
"enabler","1","0x8eaaf5d","0x1","int8_t","enabler.mouse_rbut_lift","",""
"enabler","1","0x8eaaf5e","0x1","int8_t","enabler.tracking_on","",""
"enabler","1","0x8eaaf60","0x18","compound","enabler.textures","",""
"enabler","2","0x8eaaf60","0xc","stl-vector","enabler.textures.raws","padding*",""
"enabler","2","0x8eaaf6c","0x1","bool","enabler.textures.uploaded","",""
"enabler","2","0x8eaaf70","0x4","uint32_t","enabler.textures.gl_catalog","",""
"enabler","2","0x8eaaf74","0x4","pointer","enabler.textures.gl_texpos","padding",""
"enabler","1","0x8eaaf78","0x4","int32_t","enabler.sync","",""
"enabler","1","0x8eaaf7c","0xc","stl-vector","enabler.text_system","padding*",""
"enabler","1","0x8eaaf88","0x8","compound","enabler.simticks","",""
"enabler","2","0x8eaaf88","0x4","pointer","enabler.simticks.sem","padding",""
"enabler","2","0x8eaaf8c","0x4","int32_t","enabler.simticks.value","",""
"enabler","1","0x8eaaf90","0x8","compound","enabler.gputicks","",""
"enabler","2","0x8eaaf90","0x4","pointer","enabler.gputicks.sem","padding",""
"enabler","2","0x8eaaf94","0x4","int32_t","enabler.gputicks.value","",""
"enabler","1","0x8eaaf98","0x4","uint32_t","enabler.clock","",""
"obj_8EAB020","0","0x8eab020","0x20","padding","obj_8EAB020","",""
"gview","0","0x8eab040","0x1ba98c","struct-type","gview","",""
"gview","1","0x8eab040","0x4","int32_t","gview.original_fps","",""
"gview","1","0x8eab044","0x10","class-type","gview.view","",""
"gview","2","0x8eab044","0x4","pointer","gview.view._vtable","gview::vtable",""
"gview","2","0x8eab048","0x4","pointer","gview.view.child","viewscreen",""
"gview","2","0x8eab04c","0x4","pointer","gview.view.parent","viewscreen",""
"gview","2","0x8eab050","0x1","interface_breakdown_types","gview.view.breakdown_level","",""
"gview","2","0x8eab051","0x1","int8_t","gview.view.option_key_pressed","",""
"gview","1","0x8eab054","0x4","uint32_t","gview.flag","",""
"gview","1","0x8eab058","0x4","int32_t","gview.shutdown_interface_tickcount","",""
"gview","1","0x8eab05c","0x4","int32_t","gview.shutdown_interface_for_ms","",""
"gview","1","0x8eab060","0x1","int8_t","gview.supermovie_on","",""
"gview","1","0x8eab064","0x4","int32_t","gview.supermovie_pos","",""
"gview","1","0x8eab068","0x4","int32_t","gview.supermovie_delayrate","",""
"gview","1","0x8eab06c","0x4","int32_t","gview.supermovie_delaystep","",""
"gview","1","0x8eab070","0xc","stl-vector","gview.supermovie_sound","stl-string*",""
"gview","1","0x8eab07c","0x3200","static-array","gview.supermovie_sound_time","gview::anon2","SOUND_CHANNELNUM"
"gview","1","0x8eae27c","0xc3500","padding","gview.supermoviebuffer","",""
"gview","1","0x8f7177c","0xf4240","padding","gview.supermoviebuffer_comp","",""
"gview","1","0x90659bc","0x4","int32_t","gview.currentblocksize","",""
"gview","1","0x90659c0","0x4","int32_t","gview.nextfilepos","",""
"gview","1","0x90659c4","0x1","int8_t","gview.first_movie_write","",""
"gview","1","0x90659c8","0x4","stl-string","gview.movie_file","",""
"obj_90659F4","0","0x90659f4","0xc","padding","obj_90659F4","",""
"timed_events","0","0x9065a00","0xc","stl-vector","timed_events","timed_event*",""
"ui_build_selector","0","0x9066260","0xf94","struct-type","ui_build_selector","",""
"ui_build_selector","1","0x9066260","0xc","stl-vector","ui_build_selector.requirements","ui_build_item_req*",""
"ui_build_selector","1","0x906626c","0xc","stl-vector","ui_build_selector.choices","build_req_choicest*",""
"ui_build_selector","1","0x9066278","0x4","building_type","ui_build_selector.building_type","","if -1, in Build menu; otherwise select item"
"ui_build_selector","1","0x906627c","0x2","int16_t","ui_build_selector.building_subtype","",""
"ui_build_selector","1","0x9066280","0x4","int32_t","ui_build_selector.custom_type","",""
"ui_build_selector","1","0x9066284","0x4","int32_t","ui_build_selector.stage","","0 no materials, 1 place, 2 select item"
"ui_build_selector","1","0x9066288","0x2","int16_t","ui_build_selector.req_index","",""
"ui_build_selector","1","0x906628a","0x2","int16_t","ui_build_selector.sel_index","",""
"ui_build_selector","1","0x906628c","0x4","int32_t","ui_build_selector.is_grouped","",""
"ui_build_selector","1","0x9066290","0xc","stl-vector","ui_build_selector.unk3","stl-string*",""
"ui_build_selector","1","0x906629c","0xc","stl-vector","ui_build_selector.unk4","stl-string*",""
"ui_build_selector","1","0x90662a8","0xf04","static-array","ui_build_selector.tiles","ui_build_selector::anon2",""
"ui_build_selector","1","0x90671ac","0x2","int16_t","ui_build_selector.unk5_0a","",""
"ui_build_selector","1","0x90671ae","0x2","int16_t","ui_build_selector.unk5_0b","",""
"ui_build_selector","1","0x90671b0","0x18","struct-type","ui_build_selector.plate_info","",""
"ui_build_selector","2","0x90671b0","0x4","int32_t","ui_build_selector.plate_info.unit_min","",""
"ui_build_selector","2","0x90671b4","0x4","int32_t","ui_build_selector.plate_info.unit_max","",""
"ui_build_selector","2","0x90671b8","0x1","int8_t","ui_build_selector.plate_info.water_min","",""
"ui_build_selector","2","0x90671b9","0x1","int8_t","ui_build_selector.plate_info.water_max","",""
"ui_build_selector","2","0x90671ba","0x1","int8_t","ui_build_selector.plate_info.magma_min","",""
"ui_build_selector","2","0x90671bb","0x1","int8_t","ui_build_selector.plate_info.magma_max","",""
"ui_build_selector","2","0x90671bc","0x4","int32_t","ui_build_selector.plate_info.track_min","","v0.34.08"
"ui_build_selector","2","0x90671c0","0x4","int32_t","ui_build_selector.plate_info.track_max","","v0.34.08"
"ui_build_selector","2","0x90671c4","0x4","bitfield","ui_build_selector.plate_info.flags","",""
"ui_build_selector","3","0x90671c4","0x0.1","flag-bit","ui_build_selector.plate_info.flags.units","",""
"ui_build_selector","3","0x90671c4.1","0x0.1","flag-bit","ui_build_selector.plate_info.flags.water","",""
"ui_build_selector","3","0x90671c4.2","0x0.1","flag-bit","ui_build_selector.plate_info.flags.magma","",""
"ui_build_selector","3","0x90671c4.3","0x0.1","flag-bit","ui_build_selector.plate_info.flags.citizens","",""
"ui_build_selector","3","0x90671c4.4","0x0.1","flag-bit","ui_build_selector.plate_info.flags.resets","",""
"ui_build_selector","3","0x90671c4.5","0x0.1","flag-bit","ui_build_selector.plate_info.flags.track","",""
"ui_build_selector","1","0x90671c8","0xc","stl-vector","ui_build_selector.unk6","int16_t",""
"ui_build_selector","1","0x90671d4","0xc","stl-vector","ui_build_selector.unk7","int16_t",""
"ui_build_selector","1","0x90671e0","0x4","int32_t","ui_build_selector.friction","","v0.34.08"
"ui_build_selector","1","0x90671e4","0x4","int32_t","ui_build_selector.use_dump","","v0.34.08"
"ui_build_selector","1","0x90671e8","0x4","int32_t","ui_build_selector.dump_x_shift","","v0.34.08"
"ui_build_selector","1","0x90671ec","0x4","int32_t","ui_build_selector.dump_y_shift","","v0.34.08"
"ui_build_selector","1","0x90671f0","0x4","int32_t","ui_build_selector.speed","","v0.34.08"
"window_x","0","0x90671f4","0x4","int32_t","window_x","",""
"window_y","0","0x90671f8","0x4","int32_t","window_y","",""
"window_z","0","0x9067200","0x4","int32_t","window_z","",""
"current_weather","0","0x965cd44","0x19","static-array","current_weather","current_weather::anon2",""
"cur_year","0","0x965cd60","0x4","int32_t","cur_year","",""
"process_dig","0","0x965cd64","0x1","bool","process_dig","",""
"process_jobs","0","0x965cd70","0x1","bool","process_jobs","",""
"cur_year_tick","0","0x965cd80","0x4","int32_t","cur_year_tick","",""
"ui_workshop_job_cursor","0","0x965cda4","0x4","int32_t","ui_workshop_job_cursor","",""
"ui_building_item_cursor","0","0x965cda8","0x4","int32_t","ui_building_item_cursor","",""
"ui_workshop_in_add","0","0x965cdb1","0x1","bool","ui_workshop_in_add","",""
"ui_building_in_resize","0","0x965cdb6","0x1","bool","ui_building_in_resize","",""
"ui_building_in_assign","0","0x965cdb7","0x1","bool","ui_building_in_assign","",""
"ui_building_assign_type","0","0x965cdc0","0xc","stl-vector","ui_building_assign_type","int8_t",""
"ui_building_assign_is_marked","0","0x965cdd0","0xc","stl-vector","ui_building_assign_is_marked","bool",""
"ui_building_assign_units","0","0x965cde0","0xc","stl-vector","ui_building_assign_units","unit*",""
"ui_building_assign_items","0","0x965cdf0","0xc","stl-vector","ui_building_assign_items","item*",""
"obj_965CDFC","0","0x965cdfc","0xc","padding","obj_965CDFC","",""
"obj_965CE08","0","0x965ce08","0xc","padding","obj_965CE08","",""
"obj_965CE14","0","0x965ce14","0x7c","padding","obj_965CE14","",""
"ui_selected_unit","0","0x965ce30","0x4","int32_t","ui_selected_unit","",""
"ui_unit_view_mode","0","0x965ce38","0x4","struct-type","ui_unit_view_mode","",""
"ui_unit_view_mode","1","0x965ce38","0x4","enum","ui_unit_view_mode.value","",""
"ui_unit_view_mode","2","","","enum-item","General","0",""
"ui_unit_view_mode","2","","","enum-item","Inventory","1",""
"ui_unit_view_mode","2","","","enum-item","Preferences","2",""
"ui_unit_view_mode","2","","","enum-item","Wounds","3",""
"ui_unit_view_mode","2","","","enum-item","PrefLabor","4",""
"ui_unit_view_mode","2","","","enum-item","PrefDogs","5",""
"ui_look_cursor","0","0x965ce3c","0x4","int32_t","ui_look_cursor","",""
"pause_state","0","0x965ce50","0x1","bool","pause_state","",""
"obj_965CE90","0","0x965ce90","0x10","padding","obj_965CE90","",""
"obj_965CEA0","0","0x965cea0","0x10","padding","obj_965CEA0","",""
"obj_965CEB0","0","0x965ceb0","0x10","padding","obj_965CEB0","",""
"obj_965CEC0","0","0x965cec0","0x10","padding","obj_965CEC0","",""
"obj_965CED0","0","0x965ced0","0x10","padding","obj_965CED0","",""
"ui","0","0x965cee0","0x6f08","struct-type","ui","",""
"ui","1","0x965cee0","0x2","int16_t","ui.game_state","","2 running, 1 lost to siege, 0 lost"
"ui","1","0x965cee4","0x4","int32_t","ui.lost_to_siege_civ","",""
"ui","1","0x965cee8","0x4c","compound","ui.unk8","",""
"ui","2","0x965cee8","0x2","int16_t","ui.unk8","",""
"ui","2","0x965ceec","0x4","int32_t","ui.unk8","",""
"ui","2","0x965cef0","0xc","stl-vector","ui.unk8.unk10","building*",""
"ui","2","0x965cefc","0x4","int32_t","ui.unk8","",""
"ui","2","0x965cf00","0x4","int32_t","ui.unk8","",""
"ui","2","0x965cf04","0x8","static-array","ui.unk8","int32_t",""
"ui","2","0x965cf0c","0x2","int16_t","ui.unk8","",""
"ui","2","0x965cf0e","0x2","int16_t","ui.unk8","",""
"ui","2","0x965cf10","0x2","int16_t","ui.unk8","",""
"ui","2","0x965cf12","0x2","int16_t","ui.unk8","",""
"ui","2","0x965cf14","0x2","int16_t","ui.unk8","",""
"ui","2","0x965cf16","0x4","static-array","ui.unk8","int16_t",""
"ui","2","0x965cf1a","0x4","static-array","ui.unk8","int16_t",""
"ui","2","0x965cf1e","0x4","static-array","ui.unk8","int16_t",""
"ui","2","0x965cf24","0x4","int32_t","ui.unk8","",""
"ui","2","0x965cf28","0x4","int32_t","ui.unk8","",""
"ui","2","0x965cf2c","0x4","int32_t","ui.unk8","",""
"ui","2","0x965cf30","0x1","int8_t","ui.unk8","",""
"ui","1","0x965cf34","0x4","int32_t","ui","",""
"ui","1","0x965cf38","0x4","int32_t","ui","",""
"ui","1","0x965cf3c","0x4","int32_t","ui","",""
"ui","1","0x965cf40","0x4","int32_t","ui","",""
"ui","1","0x965cf44","0x2","int16_t","ui.bookkeeper_settings","",""
"ui","1","0x965cf48","0xc","stl-vector","ui.caravans","caravan_state*",""
"ui","1","0x965cf54","0x1","int8_t","ui","",""
"ui","1","0x965cf56","0x2","int16_t","ui.fortress_rank","",""
"ui","1","0x965cf58","0x2","int16_t","ui","",""
"ui","1","0x965cf5a","0x2","int16_t","ui","",""
"ui","1","0x965cf5c","0x2","int16_t","ui","",""
"ui","1","0x965cf5e","0x1","int8_t","ui","",""
"ui","1","0x965cf5f","0x1","int8_t","ui","",""
"ui","1","0x965cf60","0x1","bool","ui.economy_enabled","",""
"ui","1","0x965cf61","0x1","int8_t","ui","",""
"ui","1","0x965cf62","0x1","bool","ui.justice_active","",""
"ui","1","0x965cf64","0x2","int16_t","ui","",""
"ui","1","0x965cf66","0x2","int16_t","ui","",""
"ui","1","0x965cf68","0x2","int16_t","ui","",""
"ui","1","0x965cf6c","0x8","compound","ui.becoming_capital","",""
"ui","2","0x965cf6c","0x4","int32_t","ui.becoming_capital.desired_architecture","",""
"ui","2","0x965cf70","0x4","int32_t","ui.becoming_capital.desired_offerings","",""
"ui","1","0x965cf74","0x130","static-array","ui","int16_t",""
"ui","1","0x965d0a4","0x18","static-array","ui.guild_wages","int32_t",""
"ui","2","0x965d0a4","0x4","int32_t","ui.guild_wages[Miners]","",""
"ui","2","0x965d0a8","0x4","int32_t","ui.guild_wages[Carpenters]","",""
"ui","2","0x965d0ac","0x4","int32_t","ui.guild_wages[Masons]","",""
"ui","2","0x965d0b0","0x4","int32_t","ui.guild_wages[Metalsmiths]","",""
"ui","2","0x965d0b4","0x4","int32_t","ui.guild_wages[Jewelers]","",""
"ui","2","0x965d0b8","0x4","int32_t","ui.guild_wages[Craftsmen]","",""
"ui","1","0x965d0bc","0xc","static-array","ui.guild_happiness","int16_t",""
"ui","2","0x965d0bc","0x2","int16_t","ui.guild_happiness[Miners]","",""
"ui","2","0x965d0be","0x2","int16_t","ui.guild_happiness[Carpenters]","",""
"ui","2","0x965d0c0","0x2","int16_t","ui.guild_happiness[Masons]","",""
"ui","2","0x965d0c2","0x2","int16_t","ui.guild_happiness[Metalsmiths]","",""
"ui","2","0x965d0c4","0x2","int16_t","ui.guild_happiness[Jewelers]","",""
"ui","2","0x965d0c6","0x2","int16_t","ui.guild_happiness[Craftsmen]","",""
"ui","1","0x965d0c8","0xc","static-array","ui.labor_slowdown_timer","int16_t",""
"ui","2","0x965d0c8","0x2","int16_t","ui.labor_slowdown_timer[Miners]","",""
"ui","2","0x965d0ca","0x2","int16_t","ui.labor_slowdown_timer[Carpenters]","",""
"ui","2","0x965d0cc","0x2","int16_t","ui.labor_slowdown_timer[Masons]","",""
"ui","2","0x965d0ce","0x2","int16_t","ui.labor_slowdown_timer[Metalsmiths]","",""
"ui","2","0x965d0d0","0x2","int16_t","ui.labor_slowdown_timer[Jewelers]","",""
"ui","2","0x965d0d2","0x2","int16_t","ui.labor_slowdown_timer[Craftsmen]","",""
"ui","1","0x965d0d4","0xc","stl-vector","ui.currency_value","int32_t",""
"ui","1","0x965d0e0","0x4","int32_t","ui","",""
"ui","1","0x965d0e4","0x4","int32_t","ui","",""
"ui","1","0x965d0e8","0x4","int32_t","ui","",""
"ui","1","0x965d0ec","0x2080","struct-type","ui.tasks","",""
"ui","2","0x965d0ec","0x1c","compound","ui.tasks.food","",""
"ui","3","0x965d0ec","0x4","int32_t","ui.tasks.food.total","",""
"ui","3","0x965d0f0","0x4","int32_t","ui.tasks.food.meat","",""
"ui","3","0x965d0f4","0x4","int32_t","ui.tasks.food.fish","",""
"ui","3","0x965d0f8","0x4","int32_t","ui.tasks.food.other","",""
"ui","3","0x965d0fc","0x4","int32_t","ui.tasks.food.seeds","",""
"ui","3","0x965d100","0x4","int32_t","ui.tasks.food.plant","",""
"ui","3","0x965d104","0x4","int32_t","ui.tasks.food.drink","",""
"ui","2","0x965d108","0x130","static-array","ui.tasks","int16_t",""
"ui","3","0x965d108","0x2","int16_t","ui.tasks[MINER]","",""
"ui","3","0x965d10a","0x2","int16_t","ui.tasks[WOODWORKER]","",""
"ui","3","0x965d10c","0x2","int16_t","ui.tasks[CARPENTER]","",""
"ui","3","0x965d10e","0x2","int16_t","ui.tasks[BOWYER]","",""
"ui","3","0x965d110","0x2","int16_t","ui.tasks[WOODCUTTER]","",""
"ui","3","0x965d112","0x2","int16_t","ui.tasks[STONEWORKER]","",""
"ui","3","0x965d114","0x2","int16_t","ui.tasks[ENGRAVER]","",""
"ui","3","0x965d116","0x2","int16_t","ui.tasks[MASON]","",""
"ui","3","0x965d118","0x2","int16_t","ui.tasks[RANGER]","",""
"ui","3","0x965d11a","0x2","int16_t","ui.tasks[ANIMAL_CARETAKER]","",""
"ui","3","0x965d11c","0x2","int16_t","ui.tasks[ANIMAL_TRAINER]","",""
"ui","3","0x965d11e","0x2","int16_t","ui.tasks[HUNTER]","",""
"ui","3","0x965d120","0x2","int16_t","ui.tasks[TRAPPER]","",""
"ui","3","0x965d122","0x2","int16_t","ui.tasks[ANIMAL_DISSECTOR]","",""
"ui","3","0x965d124","0x2","int16_t","ui.tasks[METALSMITH]","",""
"ui","3","0x965d126","0x2","int16_t","ui.tasks[FURNACE_OPERATOR]","",""
"ui","3","0x965d128","0x2","int16_t","ui.tasks[WEAPONSMITH]","",""
"ui","3","0x965d12a","0x2","int16_t","ui.tasks[ARMORER]","",""
"ui","3","0x965d12c","0x2","int16_t","ui.tasks[BLACKSMITH]","",""
"ui","3","0x965d12e","0x2","int16_t","ui.tasks[METALCRAFTER]","",""
"ui","3","0x965d130","0x2","int16_t","ui.tasks[JEWELER]","",""
"ui","3","0x965d132","0x2","int16_t","ui.tasks[GEM_CUTTER]","",""
"ui","3","0x965d134","0x2","int16_t","ui.tasks[GEM_SETTER]","",""
"ui","3","0x965d136","0x2","int16_t","ui.tasks[CRAFTSMAN]","",""
"ui","3","0x965d138","0x2","int16_t","ui.tasks[WOODCRAFTER]","",""
"ui","3","0x965d13a","0x2","int16_t","ui.tasks[STONECRAFTER]","",""
"ui","3","0x965d13c","0x2","int16_t","ui.tasks[LEATHERWORKER]","",""
"ui","3","0x965d13e","0x2","int16_t","ui.tasks[BONE_CARVER]","",""
"ui","3","0x965d140","0x2","int16_t","ui.tasks[WEAVER]","",""
"ui","3","0x965d142","0x2","int16_t","ui.tasks[CLOTHIER]","",""
"ui","3","0x965d144","0x2","int16_t","ui.tasks[GLASSMAKER]","",""
"ui","3","0x965d146","0x2","int16_t","ui.tasks[POTTER]","",""
"ui","3","0x965d148","0x2","int16_t","ui.tasks[GLAZER]","",""
"ui","3","0x965d14a","0x2","int16_t","ui.tasks[WAX_WORKER]","",""
"ui","3","0x965d14c","0x2","int16_t","ui.tasks[STRAND_EXTRACTOR]","",""
"ui","3","0x965d14e","0x2","int16_t","ui.tasks[FISHERY_WORKER]","",""
"ui","3","0x965d150","0x2","int16_t","ui.tasks[FISHERMAN]","",""
"ui","3","0x965d152","0x2","int16_t","ui.tasks[FISH_DISSECTOR]","",""
"ui","3","0x965d154","0x2","int16_t","ui.tasks[FISH_CLEANER]","",""
"ui","3","0x965d156","0x2","int16_t","ui.tasks[FARMER]","",""
"ui","3","0x965d158","0x2","int16_t","ui.tasks[CHEESE_MAKER]","",""
"ui","3","0x965d15a","0x2","int16_t","ui.tasks[MILKER]","",""
"ui","3","0x965d15c","0x2","int16_t","ui.tasks[COOK]","",""
"ui","3","0x965d15e","0x2","int16_t","ui.tasks[THRESHER]","",""
"ui","3","0x965d160","0x2","int16_t","ui.tasks[MILLER]","",""
"ui","3","0x965d162","0x2","int16_t","ui.tasks[BUTCHER]","",""
"ui","3","0x965d164","0x2","int16_t","ui.tasks[TANNER]","",""
"ui","3","0x965d166","0x2","int16_t","ui.tasks[DYER]","",""
"ui","3","0x965d168","0x2","int16_t","ui.tasks[PLANTER]","",""
"ui","3","0x965d16a","0x2","int16_t","ui.tasks[HERBALIST]","",""
"ui","3","0x965d16c","0x2","int16_t","ui.tasks[BREWER]","",""
"ui","3","0x965d16e","0x2","int16_t","ui.tasks[SOAP_MAKER]","",""
"ui","3","0x965d170","0x2","int16_t","ui.tasks[POTASH_MAKER]","",""
"ui","3","0x965d172","0x2","int16_t","ui.tasks[LYE_MAKER]","",""
"ui","3","0x965d174","0x2","int16_t","ui.tasks[WOOD_BURNER]","",""
"ui","3","0x965d176","0x2","int16_t","ui.tasks[SHEARER]","",""
"ui","3","0x965d178","0x2","int16_t","ui.tasks[SPINNER]","",""
"ui","3","0x965d17a","0x2","int16_t","ui.tasks[PRESSER]","",""
"ui","3","0x965d17c","0x2","int16_t","ui.tasks[BEEKEEPER]","",""
"ui","3","0x965d17e","0x2","int16_t","ui.tasks[ENGINEER]","",""
"ui","3","0x965d180","0x2","int16_t","ui.tasks[MECHANIC]","",""
"ui","3","0x965d182","0x2","int16_t","ui.tasks[SIEGE_ENGINEER]","",""
"ui","3","0x965d184","0x2","int16_t","ui.tasks[SIEGE_OPERATOR]","",""
"ui","3","0x965d186","0x2","int16_t","ui.tasks[PUMP_OPERATOR]","",""
"ui","3","0x965d188","0x2","int16_t","ui.tasks[CLERK]","",""
"ui","3","0x965d18a","0x2","int16_t","ui.tasks[ADMINISTRATOR]","",""
"ui","3","0x965d18c","0x2","int16_t","ui.tasks[TRADER]","",""
"ui","3","0x965d18e","0x2","int16_t","ui.tasks[ARCHITECT]","",""
"ui","3","0x965d190","0x2","int16_t","ui.tasks[ALCHEMIST]","",""
"ui","3","0x965d192","0x2","int16_t","ui.tasks[DOCTOR]","",""
"ui","3","0x965d194","0x2","int16_t","ui.tasks[DIAGNOSER]","",""
"ui","3","0x965d196","0x2","int16_t","ui.tasks[BONE_SETTER]","",""
"ui","3","0x965d198","0x2","int16_t","ui.tasks[SUTURER]","",""
